tag,itens,categoria,modelo,serial,marca,valor,data_compra,fornecedor,po,nota_fiscal,uso,qtd,prateleira,rua,setor,box,conferido,local,codigo,data_entrada,sku,motivo
MON001,"Monitor LG 27""",tv e monitor,27GL850-B,LG27GL001,LG,2200.0,2024-01-25,LG Electronics,PO-MON-001,NF-002001,Design/Video,15,Prateleira D,Rua D1,Monitor Zone Delta,Caixa D1,True,,,,SKU-MON001,
MON002,"TV Samsung 55""",tv e monitor,UN55AU7000,SAM55AU001,Samsung,3500.0,2024-02-15,Samsung Brasil,PO-MON-002,NF-002002,Sala de Reunião,4,Prateleira E,Rua E1,AV Zone Echo,Caixa E1,False,,,,SKU-MON002,
MON003,"Monitor Dell 24""",tv e monitor,P2422H,DELLP24001,Dell,1800.0,2024-03-05,Dell Brasil,PO-MON-003,NF-002003,Escritório Geral,20,Prateleira D,Rua D1,Monitor Zone Delta,Caixa D2,True,,,,SKU-MON003,
MON004,Projetor BenQ,tv e monitor,MW632ST,BENQMW001,BenQ,4500.0,2024-02-28,BenQ Brasil,PO-MON-004,NF-002004,Apresentações,3,Prateleira E,Rua E2,AV Zone Echo,Caixa E2,True,,,,SKU-MON004,
MON005,Apple TV 4K,tv e monitor,MXGY2LL/A,APPLETV001,Apple,800.0,2024-03-15,Apple Brasil,PO-MON-005,NF-002005,Streaming/AirPlay,6,Prateleira D,Rua D1,Monitor Zone Delta,Caixa D3,False,,,,SKU-MON005,
AUD001,Headset Plantronics,audio e video,Voyager 4220,PLT4220001,Plantronics,1200.0,2024-01-18,Plantronics,PO-AUD-001,NF-003001,Call Center,30,Prateleira F,Rua F1,Audio Zone Foxtrot,Caixa F1,True,,,,SKU-AUD001,
AUD002,Caixa de Som JBL,audio e video,Charge 5,JBLCH5001,JBL,600.0,2024-02-22,JBL Brasil,PO-AUD-002,NF-003002,Eventos/Reuniões,8,Prateleira F,Rua F2,Audio Zone Foxtrot,Caixa F2,True,,,,SKU-AUD002,
AUD003,Microfone Blue Yeti,audio e video,Blue Yeti Nano,BLUYETI001,Blue Microphones,400.0,2024-03-08,Blue Microphones,PO-AUD-003,NF-003003,Podcast/Gravação,4,Prateleira G,Rua G1,Studio Zone Golf,Caixa G1,False,,,,SKU-AUD003,
AUD004,Webcam Logitech C920,audio e video,C920 HD Pro,LGTC920001,Logitech,350.0,2024-02-12,Logitech,PO-AUD-004,NF-003004,Videoconferência,18,Prateleira F,Rua F1,Audio Zone Foxtrot,Caixa F3,True,,,,SKU-AUD004,
AUD005,Adaptador USB-C Hub,audio e video,PowerExpand 11-in-1,ANKPOW001,Anker,300.0,2024-01-28,Anker Brasil,PO-AUD-005,NF-003005,Conectividade Hub,15,Prateleira C,Rua C2,TechStop Gamma,Caixa C3,True,,,,SKU-AUD005,
LIX001,Impressora HP Antiga,lixo eletrônico,LaserJet 1320,HPLJ1320001,HP,50.0,2023-01-10,HP Brasil,PO-LIX-001,NF-LIX001,Descarte Programado,5,Prateleira H,Rua H1,Lixo Zone Hotel,Caixa H1,False,,,,SKU-LIX001,
LIX002,Monitor CRT Dell,lixo eletrônico,UltraSharp 1901FP,DELL1901001,Dell,100.0,2022-05-15,Dell Brasil,PO-LIX-002,NF-LIX002,Descarte Programado,3,Prateleira H,Rua H1,Lixo Zone Hotel,Caixa H2,False,,,,SKU-LIX002,
LIX003,CPU Pentium 4,lixo eletrônico,OptiPlex GX280,DELLGX001,Dell,80.0,2021-03-20,Dell Brasil,PO-LIX-003,NF-LIX003,Descarte Programado,8,Prateleira I,Rua I1,Lixo Zone India,Caixa I1,True,,,,SKU-LIX003,
LIX004,Teclado PS/2 Antigo,lixo eletrônico,QuietKey KB212-B,DELLKB001,Dell,30.0,2020-08-10,Dell Brasil,PO-LIX-004,NF-LIX004,Descarte Programado,12,Prateleira I,Rua I2,Lixo Zone India,Caixa I2,False,,,,SKU-LIX004,
OUT001,Cabo HDMI Premium,outros,HDMI 2.1 Ultra High Speed,HDMI21001,Cabo Premium,80.0,2024-02-05,Cabo Premium Ltda,PO-OUT-001,NF-OUT001,Conectividade,50,Prateleira J,Rua J1,Outros Zone Juliet,Caixa J1,True,,,,SKU-OUT001,
OUT002,Hub USB 3.0,outros,Anker 10-Port USB 3.0,ANK10USB001,Anker,150.0,2024-01-12,Anker Brasil,PO-OUT-002,NF-OUT002,Expansão USB,20,Prateleira J,Rua J1,Outros Zone Juliet,Caixa J2,False,,,,SKU-OUT002,
OUT003,Suporte Monitor Ajustável,outros,Herman Miller Ollin,HMOLLIN001,Herman Miller,900.0,2024-03-12,Herman Miller,PO-OUT-003,NF-OUT003,Ergonomia,15,Prateleira K,Rua K1,Ergonomia Zone Kilo,Caixa K1,True,,,,SKU-OUT003,
OUT004,Mousepad Gamer RGB,outros,Corsair MM800 RGB,CORMM800001,Corsair,120.0,2024-02-18,Corsair Gaming,PO-OUT-004,NF-OUT004,Gaming/Produtividade,25,Prateleira C,Rua C2,TechStop Gamma,Caixa C4,True,,,,SKU-OUT004,
OUT005,Filtro de Linha,outros,Fortrek 8 Tomadas,FORT8TOM001,Fortrek,200.0,2024-01-22,Fortrek,PO-OUT-005,NF-OUT005,Proteção Elétrica,30,Prateleira J,Rua J2,Outros Zone Juliet,Caixa J3,False,,,,SKU-OUT005,
TEC000,teste5,tv e monitor,,AUTO0028,1111,0.01,2025-08-21,,PO-AUTO-028,NF-AUTO000028,Geral,1,Prateleira A,Rua A2,AV Zone Echo,,False,Spark,,,SKU-TEC000,
tag000,1,audio e video,1,AUTO0029,e,1111.0,2025-08-21,1,11111,1111111,Geral,1,Prateleira A,Rua A1,Monitor Zone Delta,1,False,hq1,,,SKU-tag000,
TV 0001,,tv e monitor,,TV 0001,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0001,2025-08-22 14:55:18.168103,SKU-TV 0001,
TV 0002,,tv e monitor,,TV 0002,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0002,2025-08-22 14:55:18.168103,SKU-TV 0002,
TV 0003,MODELO,tv e monitor,,TV 0003,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0003,2025-08-22 14:55:18.168103,SKU-TV 0003,
TV 0004,P2719h,tv e monitor,,TV 0004,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0004,2025-08-22 14:55:18.168103,SKU-TV 0004,
TV 0005,P2719h,tv e monitor,,TV 0005,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0005,2025-08-22 14:55:18.168103,SKU-TV 0005,
TV 0006,P2719h,tv e monitor,,TV 0006,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0006,2025-08-22 14:55:18.168103,SKU-TV 0006,
TV 0007,P2719h,tv e monitor,,TV 0007,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0007,2025-08-22 14:55:18.168103,SKU-TV 0007,
TV 0008,P2719h,tv e monitor,,TV 0008,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0008,2025-08-22 14:55:18.168103,SKU-TV 0008,
TV 0009,P2719h,tv e monitor,,TV 0009,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0009,2025-08-22 14:55:18.168103,SKU-TV 0009,
TV 0010,P2719h,tv e monitor,,TV 0010,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0010,2025-08-22 14:55:18.168103,SKU-TV 0010,
TV 0011,P2719h,tv e monitor,,TV 0011,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0011,2025-08-22 14:55:18.168103,SKU-TV 0011,
TV 0012,P2719h,tv e monitor,,TV 0012,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0012,2025-08-22 14:55:18.168103,SKU-TV 0012,
TV 0013,P2719h,tv e monitor,,TV 0013,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0013,2025-08-22 14:55:18.168103,SKU-TV 0013,
TV 0014,P2719h,tv e monitor,,TV 0014,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0014,2025-08-22 14:55:18.168103,SKU-TV 0014,
TV 0015,P2719h,tv e monitor,,TV 0015,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0015,2025-08-22 14:55:18.168103,SKU-TV 0015,
TV 0016,P2719h,tv e monitor,,TV 0016,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0016,2025-08-22 14:55:18.168103,SKU-TV 0016,
TV 0017,P2719h,tv e monitor,,TV 0017,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0017,2025-08-22 14:55:18.168103,SKU-TV 0017,
TV 0018,P2719h,tv e monitor,,TV 0018,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0018,2025-08-22 14:55:18.168103,SKU-TV 0018,
TV 0019,P2719h,tv e monitor,,TV 0019,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0019,2025-08-22 14:55:18.168103,SKU-TV 0019,
TV 0020,P2719h,tv e monitor,,TV 0020,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0020,2025-08-22 14:55:18.168103,SKU-TV 0020,
TV 0021,P2719h,tv e monitor,,TV 0021,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0021,2025-08-22 14:55:18.168103,SKU-TV 0021,
TV 0022,P2719h,tv e monitor,,TV 0022,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0022,2025-08-22 14:55:18.168103,SKU-TV 0022,
TV 0023,P2719h,tv e monitor,,TV 0023,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0023,2025-08-22 14:55:18.168103,SKU-TV 0023,
TV 0024,P2719h,tv e monitor,,TV 0024,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0024,2025-08-22 14:55:18.168103,SKU-TV 0024,
TV 0025,P2719h,tv e monitor,,TV 0025,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0025,2025-08-22 14:55:18.168103,SKU-TV 0025,
TV 0026,P2719h,tv e monitor,,TV 0026,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0026,2025-08-22 14:55:18.168103,SKU-TV 0026,
TV 0027,P2719h,tv e monitor,,TV 0027,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0027,2025-08-22 14:55:18.168103,SKU-TV 0027,
TV 0028,P2719h,tv e monitor,,TV 0028,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0028,2025-08-22 14:55:18.168103,SKU-TV 0028,
TV 0029,P2719h,tv e monitor,,TV 0029,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0029,2025-08-22 14:55:18.168103,SKU-TV 0029,
TV 0030,P2719h,tv e monitor,,TV 0030,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0030,2025-08-22 14:55:18.168103,SKU-TV 0030,
TV 0031,P2719h,tv e monitor,,TV 0031,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0031,2025-08-22 14:55:18.168103,SKU-TV 0031,
TV 0032,P2719h,tv e monitor,,TV 0032,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0032,2025-08-22 14:55:18.168103,SKU-TV 0032,
TV 0033,P2719h,tv e monitor,,TV 0033,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0033,2025-08-22 14:55:18.168103,SKU-TV 0033,
TV 0034,P2719h,tv e monitor,,TV 0034,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0034,2025-08-22 14:55:18.168103,SKU-TV 0034,
TV 0035,P2719h,tv e monitor,,TV 0035,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0035,2025-08-22 14:55:18.168103,SKU-TV 0035,
TV 0036,P2719h,tv e monitor,,TV 0036,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0036,2025-08-22 14:55:18.168103,SKU-TV 0036,
TV 0037,P2719h,tv e monitor,,TV 0037,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0037,2025-08-22 14:55:18.168103,SKU-TV 0037,
TV 0038,P2719h,tv e monitor,,TV 0038,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0038,2025-08-22 14:55:18.168103,SKU-TV 0038,
TV 0039,P2719h,tv e monitor,,TV 0039,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0039,2025-08-22 14:55:18.168103,SKU-TV 0039,
TV 0040,P2719h,tv e monitor,,TV 0040,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0040,2025-08-22 14:55:18.168103,SKU-TV 0040,
TV 0041,P2719h,tv e monitor,,TV 0041,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0041,2025-08-22 14:55:18.168103,SKU-TV 0041,
TV 0042,P2719h,tv e monitor,,TV 0042,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0042,2025-08-22 14:55:18.168103,SKU-TV 0042,
TV 0043,P2719h,tv e monitor,,TV 0043,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0043,2025-08-22 14:55:18.168103,SKU-TV 0043,
TV 0044,P2719h,tv e monitor,,TV 0044,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0044,2025-08-22 14:55:18.168103,SKU-TV 0044,
TV 0045,P2719h,tv e monitor,,TV 0045,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0045,2025-08-22 14:55:18.168103,SKU-TV 0045,
TV 0046,P2719h,tv e monitor,,TV 0046,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0046,2025-08-22 14:55:18.168103,SKU-TV 0046,
TV 0047,P2719h,tv e monitor,,TV 0047,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0047,2025-08-22 14:55:18.168103,SKU-TV 0047,
TV 0048,P2719h,tv e monitor,,TV 0048,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0048,2025-08-22 14:55:18.168103,SKU-TV 0048,
TV 0049,P2719h,tv e monitor,,TV 0049,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0049,2025-08-22 14:55:18.168103,SKU-TV 0049,
TV 0050,P2719h,tv e monitor,,TV 0050,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0050,2025-08-22 14:55:18.168103,SKU-TV 0050,
TV 0051,P2719h,tv e monitor,,TV 0051,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0051,2025-08-22 14:55:18.168103,SKU-TV 0051,
TV 0052,P2719h,tv e monitor,,TV 0052,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0052,2025-08-22 14:55:18.168103,SKU-TV 0052,
TV 0053,P2719h,tv e monitor,,TV 0053,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0053,2025-08-22 14:55:18.168103,SKU-TV 0053,
TV 0054,P2719h,tv e monitor,,TV 0054,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0054,2025-08-22 14:55:18.168103,SKU-TV 0054,
TV 0055,P2719h,tv e monitor,,TV 0055,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0055,2025-08-22 14:55:18.168103,SKU-TV 0055,
TV 0056,P2719h,tv e monitor,,TV 0056,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0056,2025-08-22 14:55:18.168103,SKU-TV 0056,
TV 0057,P2719h,tv e monitor,,TV 0057,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0057,2025-08-22 14:55:18.168103,SKU-TV 0057,
TV 0058,P2719h,tv e monitor,,TV 0058,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0058,2025-08-22 14:55:18.168103,SKU-TV 0058,
TV 0059,P2719h,tv e monitor,,TV 0059,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0059,2025-08-22 14:55:18.168103,SKU-TV 0059,
TV 0060,P2719h,tv e monitor,,TV 0060,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0060,2025-08-22 14:55:18.168103,SKU-TV 0060,
TV 0061,P2719h,tv e monitor,,TV 0061,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0061,2025-08-22 14:55:18.168103,SKU-TV 0061,
TV 0062,P2719h,tv e monitor,,TV 0062,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0062,2025-08-22 14:55:18.168103,SKU-TV 0062,
TV 0063,P2719h,tv e monitor,,TV 0063,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0063,2025-08-22 14:55:18.168103,SKU-TV 0063,
TV 0064,P2719h,tv e monitor,,TV 0064,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0064,2025-08-22 14:55:18.168103,SKU-TV 0064,
TV 0065,P2719h,tv e monitor,,TV 0065,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0065,2025-08-22 14:55:18.168103,SKU-TV 0065,
TV 0066,P2719h,tv e monitor,,TV 0066,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0066,2025-08-22 14:55:18.168103,SKU-TV 0066,
TV 0067,P2719h,tv e monitor,,TV 0067,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0067,2025-08-22 14:55:18.168103,SKU-TV 0067,
TV 0068,P2719h,tv e monitor,,TV 0068,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0068,2025-08-22 14:55:18.168103,SKU-TV 0068,
TV 0069,P2719h,tv e monitor,,TV 0069,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0069,2025-08-22 14:55:18.168103,SKU-TV 0069,
TV 0070,P2719h,tv e monitor,,TV 0070,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0070,2025-08-22 14:55:18.168103,SKU-TV 0070,
TV 0071,P2719h,tv e monitor,,TV 0071,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0071,2025-08-22 14:55:18.168103,SKU-TV 0071,
TV 0072,P2719h,tv e monitor,,TV 0072,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0072,2025-08-22 14:55:18.168103,SKU-TV 0072,
TV 0073,P2719h,tv e monitor,,TV 0073,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0073,2025-08-22 14:55:18.168103,SKU-TV 0073,
TV 0074,P2719h,tv e monitor,,TV 0074,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0074,2025-08-22 14:55:18.168103,SKU-TV 0074,
TV 0075,P2719h,tv e monitor,,TV 0075,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0075,2025-08-22 14:55:18.168103,SKU-TV 0075,
TV 0076,P2719h,tv e monitor,,TV 0076,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0076,2025-08-22 14:55:18.168103,SKU-TV 0076,
TV 0077,P2719h,tv e monitor,,TV 0077,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0077,2025-08-22 14:55:18.168103,SKU-TV 0077,
TV 0078,P2719h,tv e monitor,,TV 0078,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0078,2025-08-22 14:55:18.168103,SKU-TV 0078,
TV 0079,P2719h,tv e monitor,,TV 0079,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0079,2025-08-22 14:55:18.168103,SKU-TV 0079,
TV 0080,P2719h,tv e monitor,,TV 0080,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0080,2025-08-22 14:55:18.168103,SKU-TV 0080,
TV 0081,P2719h,tv e monitor,,TV 0081,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0081,2025-08-22 14:55:18.168103,SKU-TV 0081,
TV 0082,P2719h,tv e monitor,,TV 0082,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0082,2025-08-22 14:55:18.168103,SKU-TV 0082,
TV 0083,,tv e monitor,,TV 0083,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0083,2025-08-22 14:55:18.168103,SKU-TV 0083,
TV 0084,,tv e monitor,,TV 0084,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0084,2025-08-22 14:55:18.168103,SKU-TV 0084,
TV 0085,,tv e monitor,,TV 0085,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0085,2025-08-22 14:55:18.168103,SKU-TV 0085,
TV 0086,80 monitores,tv e monitor,,TV 0086,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0086,2025-08-22 14:55:18.168103,SKU-TV 0086,
TV 0087,p2719h,tv e monitor,,TV 0087,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0087,2025-08-22 14:55:18.168103,SKU-TV 0087,
TV 0088,p2719h,tv e monitor,,TV 0088,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0088,2025-08-22 14:55:18.168103,SKU-TV 0088,
TV 0089,p2719h,tv e monitor,,TV 0089,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0089,2025-08-22 14:55:18.168103,SKU-TV 0089,
TV 0090,p2719h,tv e monitor,,TV 0090,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0090,2025-08-22 14:55:18.168103,SKU-TV 0090,
TV 0091,p2719h,tv e monitor,,TV 0091,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0091,2025-08-22 14:55:18.168103,SKU-TV 0091,
TV 0092,p2719h,tv e monitor,,TV 0092,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0092,2025-08-22 14:55:18.168103,SKU-TV 0092,
TV 0093,p2719h,tv e monitor,,TV 0093,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0093,2025-08-22 14:55:18.168103,SKU-TV 0093,
TV 0094,p2719h,tv e monitor,,TV 0094,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0094,2025-08-22 14:55:18.168103,SKU-TV 0094,
TV 0095,p2719h,tv e monitor,,TV 0095,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0095,2025-08-22 14:55:18.168103,SKU-TV 0095,
TV 0096,p2719h,tv e monitor,,TV 0096,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0096,2025-08-22 14:55:18.168103,SKU-TV 0096,
TV 0097,p2719h,tv e monitor,,TV 0097,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0097,2025-08-22 14:55:18.168103,SKU-TV 0097,
TV 0098,p2719h,tv e monitor,,TV 0098,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0098,2025-08-22 14:55:18.168103,SKU-TV 0098,
TV 0099,up2719h,tv e monitor,,TV 0099,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0099,2025-08-22 14:55:18.168103,SKU-TV 0099,
TV 0100,up2719h,tv e monitor,,TV 0100,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0100,2025-08-22 14:55:18.168103,SKU-TV 0100,
