tag,itens,categoria,modelo,serial,marca,valor,data_compra,fornecedor,po,nota_fiscal,uso,qtd,prateleira,rua,setor,box,conferido,local,codigo,data_entrada,sku,motivo
TV 0101,up2719h,tv e monitor,,TV 0101,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0101,2025-08-22 14:55:18.168103,SKU-TV 0101,
TV 0102,up2719h,tv e monitor,,TV 0102,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0102,2025-08-22 14:55:18.168103,SKU-TV 0102,
TV 0103,up2719h,tv e monitor,,TV 0103,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0103,2025-08-22 14:55:18.168103,SKU-TV 0103,
TV 0104,up2719h,tv e monitor,,TV 0104,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0104,2025-08-22 14:55:18.168103,SKU-TV 0104,
TV 0105,up2719h,tv e monitor,,TV 0105,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0105,2025-08-22 14:55:18.168103,SKU-TV 0105,
TV 0106,up2719h,tv e monitor,,TV 0106,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0106,2025-08-22 14:55:18.168103,SKU-TV 0106,
TV 0107,up2719h,tv e monitor,,TV 0107,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0107,2025-08-22 14:55:18.168103,SKU-TV 0107,
TV 0108,up2719h,tv e monitor,,TV 0108,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0108,2025-08-22 14:55:18.168103,SKU-TV 0108,
TV 0109,up2719h,tv e monitor,,TV 0109,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0109,2025-08-22 14:55:18.168103,SKU-TV 0109,
TV 0110,up2719h,tv e monitor,,TV 0110,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0110,2025-08-22 14:55:18.168103,SKU-TV 0110,
TV 0111,up2719h,tv e monitor,,TV 0111,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0111,2025-08-22 14:55:18.168103,SKU-TV 0111,
TV 0112,up2719h,tv e monitor,,TV 0112,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0112,2025-08-22 14:55:18.168103,SKU-TV 0112,
TV 0113,up2719h,tv e monitor,,TV 0113,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0113,2025-08-22 14:55:18.168103,SKU-TV 0113,
TV 0114,up2719h,tv e monitor,,TV 0114,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0114,2025-08-22 14:55:18.168103,SKU-TV 0114,
TV 0115,up2719h,tv e monitor,,TV 0115,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0115,2025-08-22 14:55:18.168103,SKU-TV 0115,
TV 0116,up2719h,tv e monitor,,TV 0116,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0116,2025-08-22 14:55:18.168103,SKU-TV 0116,
TV 0117,up2719h,tv e monitor,,TV 0117,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0117,2025-08-22 14:55:18.168103,SKU-TV 0117,
TV 0118,up2719h,tv e monitor,,TV 0118,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0118,2025-08-22 14:55:18.168103,SKU-TV 0118,
TV 0119,up2719h,tv e monitor,,TV 0119,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0119,2025-08-22 14:55:18.168103,SKU-TV 0119,
TV 0120,up2719h,tv e monitor,,TV 0120,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0120,2025-08-22 14:55:18.168103,SKU-TV 0120,
TV 0121,up2719h,tv e monitor,,TV 0121,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0121,2025-08-22 14:55:18.168103,SKU-TV 0121,
TV 0122,up2719h,tv e monitor,,TV 0122,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0122,2025-08-22 14:55:18.168103,SKU-TV 0122,
TV 0123,up2719h,tv e monitor,,TV 0123,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0123,2025-08-22 14:55:18.168103,SKU-TV 0123,
TV 0124,up2719h,tv e monitor,,TV 0124,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0124,2025-08-22 14:55:18.168103,SKU-TV 0124,
TV 0125,up2719h,tv e monitor,,TV 0125,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0125,2025-08-22 14:55:18.168103,SKU-TV 0125,
TV 0126,up2719h,tv e monitor,,TV 0126,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0126,2025-08-22 14:55:18.168103,SKU-TV 0126,
TV 0127,up2719h,tv e monitor,,TV 0127,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0127,2025-08-22 14:55:18.168103,SKU-TV 0127,
TV 0128,up2719h,tv e monitor,,TV 0128,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0128,2025-08-22 14:55:18.168103,SKU-TV 0128,
TV 0129,up2719h,tv e monitor,,TV 0129,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0129,2025-08-22 14:55:18.168103,SKU-TV 0129,
TV 0130,up2719h,tv e monitor,,TV 0130,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0130,2025-08-22 14:55:18.168103,SKU-TV 0130,
TV 0131,up2719h,tv e monitor,,TV 0131,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0131,2025-08-22 14:55:18.168103,SKU-TV 0131,
TV 0132,up2719h,tv e monitor,,TV 0132,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0132,2025-08-22 14:55:18.168103,SKU-TV 0132,
TV 0133,up2719h,tv e monitor,,TV 0133,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0133,2025-08-22 14:55:18.168103,SKU-TV 0133,
TV 0134,up2719h,tv e monitor,,TV 0134,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0134,2025-08-22 14:55:18.168103,SKU-TV 0134,
TV 0135,up2719h,tv e monitor,,TV 0135,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0135,2025-08-22 14:55:18.168103,SKU-TV 0135,
TV 0136,up2719h,tv e monitor,,TV 0136,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0136,2025-08-22 14:55:18.168103,SKU-TV 0136,
TV 0137,up2719h,tv e monitor,,TV 0137,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0137,2025-08-22 14:55:18.168103,SKU-TV 0137,
TV 0138,up2719h,tv e monitor,,TV 0138,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0138,2025-08-22 14:55:18.168103,SKU-TV 0138,
TV 0139,up2719h,tv e monitor,,TV 0139,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0139,2025-08-22 14:55:18.168103,SKU-TV 0139,
TV 0140,up2719h,tv e monitor,,TV 0140,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0140,2025-08-22 14:55:18.168103,SKU-TV 0140,
TV 0141,up2719h,tv e monitor,,TV 0141,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0141,2025-08-22 14:55:18.168103,SKU-TV 0141,
TV 0142,up2719h,tv e monitor,,TV 0142,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0142,2025-08-22 14:55:18.168103,SKU-TV 0142,
TV 0143,p2719h,tv e monitor,,TV 0143,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0143,2025-08-22 14:55:18.168103,SKU-TV 0143,
TV 0144,p2719h,tv e monitor,,TV 0144,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0144,2025-08-22 14:55:18.168103,SKU-TV 0144,
TV 0145,p2719h,tv e monitor,,TV 0145,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0145,2025-08-22 14:55:18.168103,SKU-TV 0145,
TV 0146,p2719h,tv e monitor,,TV 0146,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0146,2025-08-22 14:55:18.168103,SKU-TV 0146,
TV 0147,p2719h,tv e monitor,,TV 0147,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0147,2025-08-22 14:55:18.168103,SKU-TV 0147,
TV 0148,p2719h,tv e monitor,,TV 0148,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0148,2025-08-22 14:55:18.168103,SKU-TV 0148,
TV 0149,p2719h,tv e monitor,,TV 0149,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0149,2025-08-22 14:55:18.168103,SKU-TV 0149,
TV 0150,p2719h,tv e monitor,,TV 0150,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0150,2025-08-22 14:55:18.168103,SKU-TV 0150,
TV 0151,p2719h,tv e monitor,,TV 0151,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0151,2025-08-22 14:55:18.168103,SKU-TV 0151,
TV 0152,p2719h,tv e monitor,,TV 0152,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0152,2025-08-22 14:55:18.168103,SKU-TV 0152,
TV 0153,p2719h,tv e monitor,,TV 0153,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0153,2025-08-22 14:55:18.168103,SKU-TV 0153,
TV 0154,p2719h,tv e monitor,,TV 0154,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0154,2025-08-22 14:55:18.168103,SKU-TV 0154,
TV 0155,p2719h,tv e monitor,,TV 0155,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0155,2025-08-22 14:55:18.168103,SKU-TV 0155,
TV 0156,p2719h,tv e monitor,,TV 0156,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0156,2025-08-22 14:55:18.168103,SKU-TV 0156,
TV 0157,p2719h,tv e monitor,,TV 0157,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0157,2025-08-22 14:55:18.168103,SKU-TV 0157,
TV 0158,p2719h,tv e monitor,,TV 0158,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0158,2025-08-22 14:55:18.168103,SKU-TV 0158,
TV 0159,p2719h,tv e monitor,,TV 0159,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0159,2025-08-22 14:55:18.168103,SKU-TV 0159,
TV 0160,p2719h,tv e monitor,,TV 0160,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0160,2025-08-22 14:55:18.168103,SKU-TV 0160,
TV 0161,p2719h,tv e monitor,,TV 0161,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0161,2025-08-22 14:55:18.168103,SKU-TV 0161,
TV 0162,p2719h,tv e monitor,,TV 0162,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0162,2025-08-22 14:55:18.168103,SKU-TV 0162,
TV 0163,p2719h,tv e monitor,,TV 0163,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0163,2025-08-22 14:55:18.168103,SKU-TV 0163,
TV 0164,p2719h,tv e monitor,,TV 0164,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0164,2025-08-22 14:55:18.168103,SKU-TV 0164,
TV 0165,p2719h,tv e monitor,,TV 0165,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0165,2025-08-22 14:55:18.168103,SKU-TV 0165,
TV 0166,p2719h,tv e monitor,,TV 0166,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0166,2025-08-22 14:55:18.168103,SKU-TV 0166,
TV 0167,p2719h,tv e monitor,,TV 0167,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0167,2025-08-22 14:55:18.168103,SKU-TV 0167,
TV 0168,,tv e monitor,,TV 0168,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0168,2025-08-22 14:55:18.168103,SKU-TV 0168,
TV 0169,,tv e monitor,,TV 0169,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0169,2025-08-22 14:55:18.168103,SKU-TV 0169,
TV 0170,TVS ,tv e monitor,,TV 0170,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0170,2025-08-22 14:55:18.168103,SKU-TV 0170,
TV 0171,Tipo,tv e monitor,,TV 0171,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0171,2025-08-22 14:55:18.168103,SKU-TV 0171,
TV 0172,TV,tv e monitor,,TV 0172,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0172,2025-08-22 14:55:18.168103,SKU-TV 0172,
TV 0173,TV,tv e monitor,,TV 0173,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0173,2025-08-22 14:55:18.168103,SKU-TV 0173,
TV 0174,TV,tv e monitor,,TV 0174,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0174,2025-08-22 14:55:18.168103,SKU-TV 0174,
TV 0175,Video Wall,tv e monitor,,TV 0175,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0175,2025-08-22 14:55:18.168103,SKU-TV 0175,
TV 0176,Video Wall,tv e monitor,,TV 0176,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0176,2025-08-22 14:55:18.168103,SKU-TV 0176,
TV 0177,TV,tv e monitor,,TV 0177,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0177,2025-08-22 14:55:18.168103,SKU-TV 0177,
TV 0178,TV,tv e monitor,,TV 0178,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0178,2025-08-22 14:55:18.168103,SKU-TV 0178,
TV 0179,TV,tv e monitor,,TV 0179,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0179,2025-08-22 14:55:18.168103,SKU-TV 0179,
TV 0180,TV,tv e monitor,,TV 0180,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0180,2025-08-22 14:55:18.168103,SKU-TV 0180,
TV 0181,Video Wall,tv e monitor,,TV 0181,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0181,2025-08-22 14:55:18.168103,SKU-TV 0181,
TV 0182,Video Wall,tv e monitor,,TV 0182,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0182,2025-08-22 14:55:18.168103,SKU-TV 0182,
TV 0183,TV,tv e monitor,,TV 0183,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0183,2025-08-22 14:55:18.168103,SKU-TV 0183,
TV 0184,Monitor,tv e monitor,,TV 0184,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0184,2025-08-22 14:55:18.168103,SKU-TV 0184,
TV 0185,Monitor,tv e monitor,,TV 0185,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0185,2025-08-22 14:55:18.168103,SKU-TV 0185,
TV 0186,Monitor,tv e monitor,,TV 0186,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0186,2025-08-22 14:55:18.168103,SKU-TV 0186,
TV 0187,Monitor,tv e monitor,,TV 0187,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0187,2025-08-22 14:55:18.168103,SKU-TV 0187,
TV 0188,TV,tv e monitor,,TV 0188,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0188,2025-08-22 14:55:18.168103,SKU-TV 0188,
TV 0189,TV,tv e monitor,,TV 0189,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0189,2025-08-22 14:55:18.168103,SKU-TV 0189,
TV 0190,TV,tv e monitor,,TV 0190,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0190,2025-08-22 14:55:18.168103,SKU-TV 0190,
TV 0191,TV,tv e monitor,,TV 0191,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0191,2025-08-22 14:55:18.168103,SKU-TV 0191,
TV 0192,TV,tv e monitor,,TV 0192,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0192,2025-08-22 14:55:18.168103,SKU-TV 0192,
TV 0193,TV,tv e monitor,,TV 0193,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0193,2025-08-22 14:55:18.168103,SKU-TV 0193,
TV 0194,TV,tv e monitor,,TV 0194,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0194,2025-08-22 14:55:18.168103,SKU-TV 0194,
TV 0195,TV,tv e monitor,,TV 0195,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0195,2025-08-22 14:55:18.168103,SKU-TV 0195,
TV 0196,TV,tv e monitor,,TV 0196,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0196,2025-08-22 14:55:18.168103,SKU-TV 0196,
TV 0197,Marca,tv e monitor,,TV 0197,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0197,2025-08-22 14:55:18.168103,SKU-TV 0197,
TV 0198,Samsung,tv e monitor,,TV 0198,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0198,2025-08-22 14:55:18.168103,SKU-TV 0198,
TV 0199,Samsung,tv e monitor,,TV 0199,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0199,2025-08-22 14:55:18.168103,SKU-TV 0199,
TV 0200,Samsung,tv e monitor,,TV 0200,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0200,2025-08-22 14:55:18.168103,SKU-TV 0200,
TV 0201,Philips,tv e monitor,,TV 0201,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0201,2025-08-22 14:55:18.168103,SKU-TV 0201,
TV 0202,Samsung,tv e monitor,,TV 0202,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0202,2025-08-22 14:55:18.168103,SKU-TV 0202,
TV 0203,Samsung,tv e monitor,,TV 0203,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0203,2025-08-22 14:55:18.168103,SKU-TV 0203,
TV 0204,Samsung,tv e monitor,,TV 0204,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0204,2025-08-22 14:55:18.168103,SKU-TV 0204,
TV 0205,Philco,tv e monitor,,TV 0205,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0205,2025-08-22 14:55:18.168103,SKU-TV 0205,
TV 0206,LG,tv e monitor,,TV 0206,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0206,2025-08-22 14:55:18.168103,SKU-TV 0206,
TV 0207,LG,tv e monitor,,TV 0207,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0207,2025-08-22 14:55:18.168103,SKU-TV 0207,
TV 0208,LG,tv e monitor,,TV 0208,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0208,2025-08-22 14:55:18.168103,SKU-TV 0208,
TV 0209,Samsung,tv e monitor,,TV 0209,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0209,2025-08-22 14:55:18.168103,SKU-TV 0209,
TV 0210,Sony,tv e monitor,,TV 0210,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0210,2025-08-22 14:55:18.168103,SKU-TV 0210,
TV 0211,LG,tv e monitor,,TV 0211,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0211,2025-08-22 14:55:18.168103,SKU-TV 0211,
TV 0212,Samsung,tv e monitor,,TV 0212,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0212,2025-08-22 14:55:18.168103,SKU-TV 0212,
TV 0213,LG,tv e monitor,,TV 0213,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0213,2025-08-22 14:55:18.168103,SKU-TV 0213,
TV 0214,LG,tv e monitor,,TV 0214,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0214,2025-08-22 14:55:18.168103,SKU-TV 0214,
TV 0215,LG,tv e monitor,,TV 0215,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0215,2025-08-22 14:55:18.168103,SKU-TV 0215,
TV 0216,Samsung,tv e monitor,,TV 0216,,0.0,,,,,Operacional,1,A Definir,A Definir,Geral,,True,HQ1 - 8º Andar,TV 0216,2025-08-22 14:55:18.168103,SKU-TV 0216,
AUD0012,Headset Plantronics,audio e video,Voyager 4220,PLT4220001,Plantronics,1200.0,2024-01-18,Plantronics,PO-AUD-001,NF-003001,Call Center,30,Prateleira A,Rua A1,teste,Caixa F1,True,hq1,,2025-08-27 00:00:00,SKU-AUD0012,Entrada de Estoque
AUD00199,Headset Plantronics,audio e video,Voyager 4220,PLT4220001,Plantronics,1200.0,2024-01-18,Plantronics,PO-AUD-001,NF-003001,Call Center,30,Prateleira A,Rua A1,Geral,Caixa F1,True,HQ1,,2025-08-27 00:00:00,SKU-AUD001111,Entrada de Estoque
TEC002,teste,techstop,Elite Desk 800 G8,,HP,2800.0,,HP Brasil,PO-TEC-002,NF-001235,Escritório,8,Prateleira A,Rua A2,TechStop Alpha,Caixa A2,True,hq2,,,SKU-TEC002,
TEC004,Workstation Lenovo,techstop,ThinkStation P520,,Lenovo,12000.0,,Lenovo Brasil,PO-TEC-004,NF-001237,Engenharia 3D,2,Prateleira B,Rua B2,TechStop Beta,Caixa B2,False,,,,SKU-TEC004,
TEC005,Tablet iPad Pro,techstop,"iPad Pro 12.9""",,Apple,4200.0,,Apple Brasil,PO-TEC-005,NF-001238,Design Mobile,5,Prateleira A,Rua A1,TechStop Alpha,Caixa A3,True,,,,SKU-TEC005,
TEC006,Mouse Logitech MX,techstop,MX Master 3S,,Logitech,450.0,,Logitech,PO-TEC-006,NF-001239,Produtividade,25,Prateleira C,Rua C1,TechStop Gamma,Caixa C1,True,,,,SKU-TEC006,
TEC007,Teclado Mecânico,techstop,K70 RGB MK.2,,Corsair,850.0,,Corsair Gaming,PO-TEC-007,NF-001240,Gaming/Dev,6,Prateleira C,Rua C1,TechStop Gamma,Caixa C2,False,,,,SKU-TEC007,
TEC008,SSD Externo Samsung,techstop,T7 Shield 2TB,,Samsung,800.0,,Samsung Brasil,PO-TEC-008,NF-001241,Backup/Armazenamento,10,Prateleira A,Rua A2,TechStop Alpha,Caixa A4,True,,,,SKU-TEC008,
Caixa A1,TEC001,techstop,PO-TEC-001,,50240858619404000814550020000470831730532280,0.03,,1,faça um orçamento,50240858619404000814550020000470831730532280,NADA,1,A Definir,Rua C2,Desenvolvimento,,True,Spark,,,SKU-Caixa A1,
11111,teste11111,techstop,,AUTO0247,dellnada,1.0,2025-08-27,1,1,1,em uso,1,Prateleira A,Rua A1,Geral,1,True,Spark,,2025-08-27 00:00:00,11111111,Entrada de Estoque
33qewqewqewqewqe,testeqqqqq,techstop,teste11111,1111111,teste1111111,100.0,2025-08-28,teste,teste,12322141234134,Geral,1,Desenvolvimento,Rua A1,llll,11111,True,HQ1,,2025-08-28 00:00:00,wqeqwewqewqe,Entrada de Estoque
